Qualifier,Trade.type,Market,Abbreviation
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@FTI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
132[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@ T[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@F I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
324[IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@F[GV4_TEXT],,NASDAQ,NASDAQUnknown2
 32[IRGCOND];[GV3_FLAG];[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODD[IRGCOND];[GV3_FLAG];[GV3_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@  I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODT[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@ TI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];MSW[PRC_QL2];C[NASDSTATUS];@F[LSTSALCOND],,NASDAQ,NASDAQUnknown2
141[IRGCOND];[GV3_FLAG];[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@ Z[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@ ZI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
1525[IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@FZ[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@FZI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
1525[IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@FZ[GV4_TEXT];Block Trade[USER],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
U[ACT_FLAG1],,NA,U[ACT_FLAG1]
Y[ACT_FLAG1],,NA,Y[ACT_FLAG1]
[ACT_FLAG1],,NA,[ACT_FLAG1]
P[ACT_FLAG1],,NA,P[ACT_FLAG1]
X[ACT_FLAG1],,NA,X[ACT_FLAG1]
U[ACT_FLAG1];   [PRC_QL_CD],,NA,U[ACT_FLAG1];   [PRC_QL_CD]
Nominal Price[USER],,NA,Nominal Price[USER]
   [PRC_QL_CD],,NA,   [PRC_QL_CD]
RCK[PRC_QL_CD],,NA,RCK[PRC_QL_CD]
RCK[PRC_QL_CD];Nominal Price[USER],,NA,RCK[PRC_QL_CD];Nominal Price[USER]
SC [PRC_QL_CD],,NA,SC [PRC_QL_CD]
D[ACT_FLAG1],,NA,D[ACT_FLAG1]
1[ACT_FLAG1];   [PRC_QL_CD],,NA,1[ACT_FLAG1];   [PRC_QL_CD]
[ACT_FLAG1];   [PRC_QL_CD],,NA,[ACT_FLAG1];   [PRC_QL_CD]
M[ACT_FLAG1],,NA,M[ACT_FLAG1]
4[ACT_FLAG1];   [PRC_QL_CD],,NA,4[ACT_FLAG1];   [PRC_QL_CD]
[ACT_FLAG1];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG]
U[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG]
[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG]
U[ACT_FLAG1];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG]
Y[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,Y[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG]
D[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,D[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG]
