,RIC,Date_Time,Price,Volume,Market_VWAP,Qualifiers,Ex_Cntrb_ID,TradeCategory,GMT_Offset,Type
167,1606.HK,2016-07-11 06:48:20.921216+00:00,1.85,10000,1.9671,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
168,1606.HK,2016-07-11 06:52:27.952475+00:00,1.85,2000,1.967,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
169,1606.HK,2016-07-11 06:55:09.100931+00:00,1.87,50000,1.9663,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
170,1606.HK,2016-07-11 06:56:22.885191+00:00,1.87,12000,1.9655,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
171,1606.HK,2016-07-11 07:08:29.357445+00:00,1.87,2000,1.9653,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
172,1606.HK,2016-07-11 07:17:09.674721+00:00,1.86,72000,1.9652,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
173,1606.HK,2016-07-11 07:17:17.918112+00:00,1.85,62000,1.9648,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
174,1606.HK,2016-07-11 07:17:25.874577+00:00,1.86,2000,1.9648,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
175,1606.HK,2016-07-11 07:17:45.294759+00:00,1.86,10000,1.9648,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
176,1606.HK,2016-07-11 07:17:47.670713+00:00,1.86,70000,1.9647,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
177,1606.HK,2016-07-11 07:18:29.431230+00:00,1.86,10000,1.9647,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
178,1606.HK,2016-07-11 07:18:54.947004+00:00,1.85,2000,1.9645,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
179,1606.HK,2016-07-11 07:20:07.258108+00:00,1.85,2000,1.9644,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
180,1606.HK,2016-07-11 07:22:23.858915+00:00,1.85,214000,1.9637,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
181,1606.HK,2016-07-11 07:32:05.718818+00:00,1.85,10000,1.9633,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
182,1606.HK,2016-07-11 07:34:18.083512+00:00,1.85,4000,1.9631,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
183,1606.HK,2016-07-11 07:38:22.164187+00:00,1.86,20000,1.9626,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
